Total_Value,Year,Month,Day,Hour,Ventilation,Sokets_Plug,Lighting,Other_Electricity,Cooling,Heating
167.25,2021,5,21,9,53.125,16.25,22.375,52.375,13.875,9.25
167.25,2021,5,21,10,53.125,16.25,22.375,52.375,13.875,9.25
34.438,2021,5,21,11,2.5,10.375,10.188,0.0,4.625,6.75
284.25,2021,5,21,12,76.0,24.75,33.125,126.0,17.125,7.25
188.75099999999998,2021,5,21,13,53.5,23.313,33.188,61.625,9.875,7.25
41.501000000000005,2021,5,21,14,3.5,11.938,14.688,0.0,6.625,4.75
285.251,2021,5,21,15,174.875,27.625,33.313,9.563,28.625,11.25
187.25,2021,5,21,16,57.75,23.625,32.0,55.875,10.25,7.75
35.126,2021,5,21,17,2.25,13.813,11.063,0.0,4.5,3.5
297.5,2021,5,21,18,48.625,26.75,32.75,122.5,18.875,48.0
213.25,2021,5,21,19,27.25,22.125,27.875,77.625,10.125,48.25
51.126000000000005,2021,5,21,20,2.125,8.187999999999999,14.813,0.0,5.75,20.25
213.25099999999998,2021,5,21,21,75.375,18.438,16.938,84.625,11.125,6.75
137.501,2021,5,21,22,40.75,14.75,11.063,54.313,10.125,6.5
22.376,2021,5,21,23,1.125,6.688,4.188,0.0,6.875,3.5
159.501,2021,5,22,0,78.5,13.188,8.875,31.563,20.875,6.5
83.001,2021,5,22,1,17.5,8.625,3.063,44.063,6.75,3.0
136.75,2021,5,22,2,9.625,14.0,9.0,79.75,18.125,6.25
130.751,2021,5,22,3,9.75,13.938,7.688,78.875,14.75,5.75
88.251,2021,5,22,4,7.25,10.563,7.313,46.0,10.375,6.75
17.5,2021,5,22,5,1.875,4.25,2.5,0.0,5.875,3.0
172.50099999999998,2021,5,22,6,7.5,12.813,6.938,80.0,17.75,47.5
131.0,2021,5,22,7,4.75,12.625,6.875,48.125,10.625,48.0
33.688,2021,5,22,8,2.0,1.6880000000000002,3.875,0.0,5.875,20.25
127.501,2021,5,22,9,6.0,15.813,8.0,77.063,14.125,6.5
82.751,2021,5,22,10,5.75,10.375,5.0,45.563,10.313,5.75
20.626,2021,5,22,11,2.0,5.063,3.375,0.0,6.438,3.75
124.251,2021,5,22,12,7.0,10.688,7.313,69.0,24.0,6.25
80.75,2021,5,22,13,6.5,12.25,7.125,29.125,19.0,6.75
25.625,2021,5,22,14,2.125,6.875,4.875,0.0,8.25,3.5
124.251,2021,5,22,15,10.75,15.25,6.688,64.813,21.0,5.75
76.251,2021,5,22,16,11.125,10.563,5.938,16.125,26.25,6.25
27.75,2021,5,22,17,2.25,6.375,3.5,0.0,11.375,4.25
119.001,2021,5,22,18,8.75,14.563,7.0,63.813,18.875,6.0
90.751,2021,5,22,19,6.875,11.188,6.813,32.5,27.625,5.75
23.751,2021,5,22,20,1.375,4.438,3.063,0.0,11.125,3.75
121.001,2021,5,22,21,9.75,15.25,5.938,66.563,17.0,6.5
92.001,2021,5,22,22,7.375,11.438,5.875,43.813,17.0,6.5
21.813000000000002,2021,5,22,23,1.375,4.688,4.0,0.0,8.25,3.5
124.001,2021,5,23,0,7.125,13.438,8.125,71.0,18.313,6.0
87.251,2021,5,23,1,4.0,9.875,6.063,43.688,17.375,6.25
22.125,2021,5,23,2,1.5,3.25,4.125,0.0,9.75,3.5
124.751,2021,5,23,3,7.0,16.875,5.563,77.688,10.875,6.75
83.001,2021,5,23,4,7.0,4.75,0.313,67.438,0.0,3.5
137.001,2021,5,23,5,8.0,13.063,8.25,77.188,19.0,11.5
136.5,2021,5,23,6,10.625,12.625,8.5,64.25,28.5,12.0
133.00099999999998,2021,5,23,7,3.375,8.937999999999997,5.25,87.43799999999997,16.5,11.5
212.75099999999998,2021,5,23,8,9.0,14.438,7.125,71.438,20.5,90.25
136.25099999999998,2021,5,23,9,10.625,12.0,6.813,81.93799999999997,19.125,5.75
134.501,2021,5,23,10,6.5,15.063,7.063,75.25,24.625,6.0
128.001,2021,5,23,11,10.375,18.563,10.625,63.625,18.313,6.5
130.001,2021,5,23,12,5.0,20.0,6.063,75.0,17.938,6.0
135.751,2021,5,23,13,10.75,23.25,6.188,62.438,26.875,6.25
120.751,2021,5,23,14,8.25,25.313,8.812999999999997,52.125,20.0,6.25
115.001,2021,5,23,15,9.0,20.563,8.375,52.563,18.5,6.0
120.001,2021,5,23,16,6.875,15.563,6.375,67.063,18.125,6.0
125.001,2021,5,23,17,8.125,21.25,8.437999999999999,59.813,20.875,6.5
119.5,2021,5,23,18,8.625,16.875,7.5,59.25,20.75,6.5
124.501,2021,5,23,19,7.5,17.313,6.813,68.875,18.0,6.0
223.25099999999998,2021,5,23,20,8.0,19.813,8.125,77.438,20.625,89.25
145.251,2021,5,23,21,9.375,18.188,6.563,61.625,26.75,22.75
126.501,2021,5,23,22,7.125,12.688,7.125,77.563,16.0,6.0
132.75,2021,5,23,23,9.625,17.75,7.375,68.75,22.5,6.75
134.501,2021,5,24,0,8.125,13.938,6.75,74.25,25.438,6.0
124.251,2021,5,24,1,5.375,9.5,7.438,79.125,16.563,6.25
124.751,2021,5,24,2,9.125,14.5,8.062999999999999,65.313,21.5,6.25
132.001,2021,5,24,3,6.25,11.438,7.5,78.813,20.5,7.5
125.5,2021,5,24,4,9.75,9.0,5.375,76.5,19.375,5.5
124.251,2021,5,24,5,5.25,14.063,8.375,72.563,18.25,5.75
134.001,2021,5,24,6,9.0,13.125,6.563,76.563,22.75,6.0
129.501,2021,5,24,7,9.375,10.563,6.313,73.5,23.75,6.0
176.0,2021,5,24,8,8.125,11.875,12.75,69.75,17.5,56.0
178.00099999999998,2021,5,24,9,10.5,12.813,13.063,67.875,17.25,56.5
145.75099999999995,2021,5,24,10,7.5,13.563,12.0,85.31299999999997,21.125,6.25
136.0,2021,5,24,11,7.75,20.0,15.0,64.25,23.0,6.0
131.251,2021,5,24,12,9.5,17.5,14.313,66.438,17.25,6.25
135.001,2021,5,24,13,6.75,14.5,13.438,78.0,16.313,6.0
133.501,2021,5,24,14,6.625,22.375,15.938,57.75,24.813,6.0
123.501,2021,5,24,15,9.0,15.188,14.438,61.125,17.25,6.5
128.501,2021,5,24,16,8.875,16.563,14.375,64.438,17.75,6.5
133.001,2021,5,24,17,3.75,18.063,16.188,70.75,18.25,6.0
133.5,2021,5,24,18,4.375,16.75,13.625,74.625,18.125,6.0
131.251,2021,5,24,19,5.625,21.188,13.375,59.438,25.375,6.25
181.5,2021,5,24,20,17.125,19.125,14.75,67.75,23.75,39.0
205.00099999999998,2021,5,24,21,8.25,17.438,14.75,74.438,17.125,73.0
130.501,2021,5,24,22,8.125,14.563,12.375,73.438,15.5,6.5
129.751,2021,5,24,23,10.75,15.125,8.687999999999999,64.063,23.875,7.25
136.001,2021,5,25,0,8.875,11.938,8.0,72.688,29.5,5.0
123.5,2021,5,25,1,6.0,12.0,5.875,77.375,16.25,6.0
123.751,2021,5,25,2,8.0,13.25,8.312999999999999,71.438,17.0,5.75
128.251,2021,5,25,3,7.125,9.75,7.688,81.563,15.875,6.25
131.751,2021,5,25,4,10.375,13.938,8.187999999999999,62.75,30.25,6.25
130.0,2021,5,25,5,6.375,13.75,9.375,72.25,17.25,11.0
149.75,2021,5,25,6,9.375,13.625,8.5,80.25,27.75,10.25
167.00099999999998,2021,5,25,7,29.0,11.688,9.563,86.0,20.75,10.0
213.5,2021,5,25,8,63.875,11.75,11.125,103.875,10.875,12.0
319.501,2021,5,25,9,41.625,13.438,14.125,142.188,16.125,92.0
268.5,2021,5,25,10,115.0,26.875,22.375,77.125,20.625,6.5
280.5,2021,5,25,11,98.5,35.625,36.5,81.0,19.375,9.5
300.5,2021,5,25,12,83.625,35.75,42.625,101.5,28.5,8.5
297.001,2021,5,25,13,88.25,29.125,42.563,102.188,27.375,7.5
284.501,2021,5,25,14,107.75,31.625,42.563,73.813,20.75,8.0
293.501,2021,5,25,15,49.25,27.375,36.938,144.313,25.625,10.0
289.501,2021,5,25,16,83.875,29.563,37.563,98.875,32.125,7.5
286.5,2021,5,25,17,80.875,40.75,36.0,76.375,46.0,6.5
271.001,2021,5,25,18,56.625,38.75,33.063,108.563,27.5,6.5
248.75,2021,5,25,19,79.625,29.25,31.25,68.375,34.5,5.75
359.501,2021,5,25,20,115.25,29.125,29.313,48.188,30.625,107.0
219.00099999999998,2021,5,25,21,107.875,19.563,18.563,43.75,22.75,6.5
193.751,2021,5,25,22,51.75,16.125,10.438,93.438,16.25,5.75
189.751,2021,5,25,23,100.375,17.188,10.625,30.813,24.5,6.25
160.001,2021,5,26,0,37.625,12.688,5.5,75.813,21.875,6.5
122.751,2021,5,26,1,25.75,10.375,4.438,60.688,15.25,6.25
126.251,2021,5,26,2,9.625,13.188,9.375,65.938,22.375,5.75
135.751,2021,5,26,3,10.625,12.438,6.0,77.313,23.125,6.25
122.75,2021,5,26,4,6.0,12.375,4.375,78.5,15.25,6.25
132.251,2021,5,26,5,7.125,14.0,4.813,70.188,18.875,17.25
152.25,2021,5,26,6,10.375,12.375,4.125,87.875,19.75,17.75
164.50099999999998,2021,5,26,7,26.625,11.813,6.438,89.375,13.25,17.0
272.501,2021,5,26,8,47.75,17.063,11.813,107.875,15.0,73.0
237.501,2021,5,26,9,59.625,18.25,12.938,125.813,14.375,6.5
272.501,2021,5,26,10,58.625,25.563,23.813,136.375,19.125,9.0
289.0,2021,5,26,11,135.125,37.875,34.0,48.875,24.625,8.5
330.501,2021,5,26,12,91.75,36.438,36.563,109.125,48.625,8.0
312.0,2021,5,26,13,100.25,34.625,39.0,76.125,55.0,7.0
286.501,2021,5,26,14,99.875,40.188,40.313,70.25,26.875,9.0
278.501,2021,5,26,15,73.0,34.0,37.563,95.563,27.375,11.0
252.251,2021,5,26,16,110.0,32.875,34.688,49.063,17.875,7.75
271.501,2021,5,26,17,89.125,34.313,31.313,71.0,31.25,14.5
261.251,2021,5,26,18,89.125,29.0,31.563,69.938,27.375,14.25
326.25,2021,5,26,19,74.5,23.375,30.125,91.0,18.0,89.25
246.25099999999998,2021,5,26,20,80.875,24.188,26.438,76.125,31.875,6.75
219.751,2021,5,26,21,39.375,20.25,21.938,106.313,25.625,6.25
217.001,2021,5,26,22,122.125,18.0,13.438,31.813,25.625,6.0
185.501,2021,5,26,23,46.5,15.875,10.938,88.81299999999997,17.375,6.0
161.75,2021,5,27,0,37.75,12.25,9.0,79.625,16.875,6.25
127.751,2021,5,27,1,43.375,10.313,8.25,43.438,16.625,5.75
142.50099999999995,2021,5,27,2,5.5,15.375,8.437999999999999,89.31299999999997,17.875,6.0
126.501,2021,5,27,3,7.375,11.813,7.875,71.563,21.875,6.0
127.251,2021,5,27,4,7.75,11.688,6.875,74.688,20.0,6.25
155.001,2021,5,27,5,9.625,13.563,9.0,71.438,23.375,28.0
161.75199999999995,2021,5,27,6,3.0,12.563,9.688,90.938,17.313,28.25
181.501,2021,5,27,7,3.0,11.875,7.125,115.688,15.813,28.0
244.00099999999998,2021,5,27,8,30.375,15.563,14.438,123.25,20.375,40.0
248.501,2021,5,27,9,125.625,14.188,16.0,44.313,39.375,9.0
258.001,2021,5,27,10,74.625,20.125,24.563,107.438,24.25,7.0
276.251,2021,5,27,11,72.25,36.875,29.063,107.813,20.0,10.25
291.25,2021,5,27,12,79.25,29.125,31.25,124.125,21.25,6.25
277.751,2021,5,27,13,74.5,28.813,34.438,110.625,22.625,6.75
269.751,2021,5,27,14,155.625,30.563,36.125,19.438,20.75,7.25
284.251,2021,5,27,15,49.5,24.75,32.563,143.563,25.625,8.25
271.25,2021,5,27,16,137.375,25.25,37.0,39.125,24.75,7.75
68.813,2021,5,27,17,63.0,0.438,5.375,0.0,0.0,0.0
281.001,2021,5,27,18,69.125,46.5,32.375,91.563,26.938,14.5
267.001,2021,5,27,19,75.375,22.188,29.625,103.25,22.063,14.5
28.25,2021,5,27,20,22.75,1.5,4.0,0.0,0.0,0.0
213.251,2021,5,27,21,25.875,20.125,15.063,126.688,19.25,6.25
208.25099999999998,2021,5,27,22,11.5,15.563,9.313,150.125,15.5,6.25
12.875,2021,5,27,23,11.5,0.875,0.5,0.0,0.0,0.0
183.75,2021,5,28,0,131.125,13.25,9.25,0.0,23.875,6.25
127.251,2021,5,28,1,13.0,9.438,4.375,78.438,15.75,6.25
6.813,2021,5,28,2,1.625,0.813,4.375,0.0,0.0,0.0
123.501,2021,5,28,3,11.875,21.625,6.938,53.688,23.375,6.0
123.751,2021,5,28,4,10.875,11.938,4.938,65.25,25.0,5.75
8.0,2021,5,28,5,6.5,1.0,0.5,0.0,0.0,0.0
139.00199999999998,2021,5,28,6,13.75,11.563,6.188,84.18799999999997,17.313,6.0
78.501,2021,5,28,7,13.5,12.625,7.063,23.25,16.063,6.0
272.251,2021,5,28,8,67.875,12.25,14.313,77.313,27.75,72.75
264.75,2021,5,28,9,56.125,16.625,15.125,118.0,19.625,39.25
249.501,2021,5,28,10,79.75,20.5,24.563,98.688,18.5,7.5
73.625,2021,5,28,11,65.375,4.5,3.75,0.0,0.0,0.0
305.5,2021,5,28,12,134.25,28.75,37.375,65.75,32.375,7.0
289.251,2021,5,28,13,63.0,31.688,38.188,129.125,20.5,6.75
290.0,2021,5,28,14,111.875,31.75,37.125,83.625,18.125,7.5
289.751,2021,5,28,15,96.25,25.438,35.25,86.81299999999997,36.25,9.75
262.501,2021,5,28,16,85.0,31.063,32.5,88.18799999999997,18.25,7.5
33.563,2021,5,28,17,30.625,0.813,2.125,0.0,0.0,0.0
250.50099999999998,2021,5,28,18,84.375,25.563,31.688,73.375,29.0,6.5
252.0,2021,5,28,19,68.75,25.0,27.0,102.375,22.875,6.0
25.813000000000002,2021,5,28,20,21.625,1.625,2.563,0.0,0.0,0.0
217.751,2021,5,28,21,61.5,19.375,14.813,91.5,24.313,6.25
204.75099999999998,2021,5,28,22,69.25,14.25,8.437999999999999,68.938,38.125,5.75
177.50099999999998,2021,5,28,23,100.75,17.563,8.375,22.188,22.625,6.0
154.501,2021,5,29,0,61.625,15.313,5.875,49.563,16.125,6.0
80.251,2021,5,29,1,18.25,15.563,4.688,19.125,16.375,6.25
125.251,2021,5,29,2,3.875,14.938,6.438,70.625,23.625,5.75
120.501,2021,5,29,3,7.375,12.313,4.75,66.938,23.125,6.0
122.501,2021,5,29,4,3.25,9.75,3.688,83.68799999999997,16.125,6.0
134.25,2021,5,29,5,7.125,13.0,9.0,79.125,19.75,6.25
121.251,2021,5,29,6,6.375,11.313,5.75,71.438,20.625,5.75
121.501,2021,5,29,7,9.25,8.687999999999999,5.25,71.875,20.438,6.0
1.751,2021,5,29,8,1.0,0.688,0.063,0.0,0.0,0.0
128.25,2021,5,29,9,4.125,11.5,4.625,84.625,17.125,6.25
72.751,2021,5,29,10,3.125,12.563,3.688,32.5,15.125,5.75
119.001,2021,5,29,11,8.375,12.938,5.188,60.0,26.5,6.0
130.0,2021,5,29,12,7.875,11.25,4.375,75.25,25.25,6.0
117.751,2021,5,29,13,4.625,11.313,5.563,70.125,19.875,6.25
10.751,2021,5,29,14,4.625,0.563,5.563,0.0,0.0,0.0
120.501,2021,5,29,15,8.875,15.438,7.5,58.188,24.5,6.0
114.501,2021,5,29,16,10.375,12.5,3.813,56.563,25.25,6.0
8.501000000000001,2021,5,29,17,2.5,2.188,3.813,0.0,0.0,0.0
116.751,2021,5,29,18,3.375,11.313,8.125,62.563,25.625,5.75
118.0,2021,5,29,19,7.0,10.5,4.75,65.5,24.25,6.0
6.125,2021,5,29,20,0.875,0.5,4.75,0.0,0.0,0.0
125.75,2021,5,29,21,8.25,12.375,4.375,74.5,20.0,6.25
127.75,2021,5,29,22,3.75,11.125,3.5,84.0,19.625,5.75
3.938,2021,5,29,23,2.75,0.5,0.688,0.0,0.0,0.0
133.001,2021,5,30,0,6.375,14.438,7.563,77.75,20.875,6.0
131.25,2021,5,30,1,4.75,9.375,4.75,76.5,29.625,6.25
10.188,2021,5,30,2,4.375,1.063,4.75,0.0,0.0,0.0
121.0,2021,5,30,3,1.875,6.0,1.125,101.0,5.0,6.0
3.375,2021,5,30,4,1.875,0.5,1.0,0.0,0.0,0.0
122.751,2021,5,30,5,5.625,11.125,6.563,75.563,18.125,5.75
119.5,2021,5,30,6,5.25,11.5,4.875,74.5,17.875,5.5
123.751,2021,5,30,7,8.125,12.25,4.438,72.063,21.125,5.75
131.501,2021,5,30,8,7.75,13.5,7.688,69.563,27.0,6.0
118.751,2021,5,30,9,3.75,11.375,4.0,76.563,17.313,5.75
122.751,2021,5,30,10,5.0,13.313,4.375,77.5,16.313,6.25
134.0,2021,5,30,11,8.625,21.0,6.125,69.25,23.0,6.0
128.501,2021,5,30,12,5.0,20.438,5.375,67.188,24.5,6.0
125.25,2021,5,30,13,8.625,22.125,4.75,67.25,16.75,5.75
138.25,2021,5,30,14,4.0,24.875,6.0,71.25,25.875,6.25
117.001,2021,5,30,15,7.625,18.75,4.813,53.688,26.125,6.0
116.001,2021,5,30,16,5.125,14.813,4.313,70.5,15.25,6.0
131.251,2021,5,30,17,7.125,18.188,5.813,70.75,23.625,5.75
118.251,2021,5,30,18,6.375,20.5,5.188,57.813,22.125,6.25
116.0,2021,5,30,19,6.5,14.75,3.25,64.375,21.125,6.0
135.501,2021,5,30,20,5.75,22.75,7.063,68.313,25.625,6.0
124.251,2021,5,30,21,6.5,16.688,7.813,64.375,23.125,5.75
128.501,2021,5,30,22,6.25,11.875,4.188,80.438,20.25,5.5
141.751,2021,5,30,23,5.75,17.313,7.063,73.375,32.5,5.75
122.751,2021,5,31,0,4.75,13.25,4.563,75.563,18.375,6.25
121.25,2021,5,31,1,2.625,12.0,3.625,80.25,17.0,5.75
137.25,2021,5,31,2,5.0,13.0,8.0,85.875,19.125,6.25
129.0,2021,5,31,3,13.125,11.5,5.0,61.875,30.0,7.5
120.751,2021,5,31,4,4.0,9.188,3.938,82.625,15.75,5.25
127.501,2021,5,31,5,6.5,15.563,5.625,77.063,17.75,5.0
138.501,2021,5,31,6,7.0,12.938,6.0,77.938,28.625,6.0
157.001,2021,5,31,7,18.5,9.438,5.563,96.25,21.25,6.0
216.25,2021,5,31,8,16.0,13.375,10.875,151.375,18.375,6.25
225.50099999999998,2021,5,31,9,57.0,13.563,13.188,118.375,17.375,6.0
254.251,2021,5,31,10,47.75,18.0,23.813,139.688,17.75,7.25
305.501,2021,5,31,11,119.0,43.063,34.875,73.188,28.375,7.0
293.251,2021,5,31,12,26.25,43.813,35.75,162.063,16.625,8.75
300.25,2021,5,31,13,88.125,44.375,38.375,103.375,17.25,8.75
26.376,2021,5,31,14,17.5,5.813,3.063,0.0,0.0,0.0
297.0,2021,5,31,15,136.0,37.5,33.0,54.25,27.25,9.0
289.751,2021,5,31,16,84.25,34.188,31.313,99.375,34.375,6.25
